,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
251,Nemanja Gudelj,rs SRB,DF,Sevilla,31,1991,6.0,2,4,3,75.0,0.67,0.5,0.5,0.67,0,0,0,0.4,0.4,0.11,1.6,1.6
253,Mattéo Guendouzi,fr FRA,MF,Lazio,24,1999,5.5,0,6,1,16.7,1.09,0.18,0.0,0.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5
255,Morgan Guilavogui,gn GUI,"FW,MF",Lens,25,1998,0.8,0,3,1,33.3,3.86,1.29,0.0,0.0,0,0,0,0.6,0.6,0.19,-0.6,-0.6
256,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,6.0,0,3,3,100.0,0.5,0.5,0.0,0.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
257,Marc Guiu,es ESP,FW,Barcelona,17,2006,0.4,1,2,1,50.0,5.14,2.57,0.5,1.0,0,0,0,0.4,0.4,0.18,0.6,0.6
260,İlkay Gündoğan,de GER,MF,Barcelona,32,1990,9.3,0,15,4,26.7,1.61,0.43,0.0,0.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9
261,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,6.3,1,2,1,50.0,0.32,0.16,0.5,1.0,0,0,0,0.1,0.1,0.06,0.9,0.9
262,Erling Haaland,no NOR,FW,Manchester City,23,2000,8.6,6,41,20,48.8,4.76,2.32,0.1,0.2,0,2,2,7.0,5.4,0.13,-1.0,-1.4
263,Janik Haberer,de GER,MF,Union Berlin,29,1994,4.0,0,4,1,25.0,1.01,0.25,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
264,Amadou Haidara,ml MLI,"MF,DF",RB Leipzig,25,1998,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
266,Achraf Hakimi,ma MAR,DF,Paris S-G,24,1998,10.9,1,17,3,17.6,1.56,0.28,0.06,0.33,1,0,0,1.0,1.0,0.06,0.0,0.0
268,Sébastien Haller,ci CIV,"FW,MF",Dortmund,29,1994,0.7,1,1,1,100.0,1.41,1.41,1.0,1.0,0,0,0,0.3,0.3,0.31,0.7,0.7
269,Micah Hamilton,eng ENG,FW,Manchester City,19,2003,1.2,1,3,1,33.3,2.52,0.84,0.33,1.0,0,0,0,0.2,0.2,0.07,0.8,0.8
270,Dávid Hancko,sk SVK,DF,Feyenoord,25,1997,6.0,1,7,2,28.6,1.17,0.33,0.14,0.5,1,0,0,1.3,1.2,0.22,-0.3,-0.2
273,Reo Hatate,jp JPN,MF,Celtic,25,1997,1.5,0,3,2,66.7,2.01,1.34,0.0,0.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
274,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,9.2,1,11,3,27.3,1.19,0.33,0.09,0.33,0,0,0,1.0,1.0,0.09,0.0,0.0
275,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,26,1997,5.5,0,5,2,40.0,0.92,0.37,0.0,0.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
276,Mario Hermoso,es ESP,DF,Atlético Madrid,28,1995,9.1,1,4,1,25.0,0.44,0.11,0.25,1.0,0,0,0,0.1,0.1,0.03,0.9,0.9
277,Lucas Hernández,fr FRA,DF,Paris S-G,27,1996,9.3,1,4,1,25.0,0.43,0.11,0.25,1.0,0,0,0,0.7,0.7,0.16,0.3,0.3
278,Theo Hernández,fr FRA,DF,Milan,25,1997,6.0,0,9,2,22.2,1.5,0.33,0.0,0.0,1,0,0,0.8,0.8,0.08,-0.8,-0.8
280,Ricardo Horta,pt POR,"FW,MF",Braga,28,1994,5.6,0,17,6,35.3,3.06,1.08,0.0,0.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2
281,Mats Hummels,de GER,DF,Dortmund,34,1988,13.0,1,10,1,10.0,0.77,0.08,0.1,1.0,0,0,0,0.9,0.9,0.09,0.1,0.1
282,Oh Hyeon-gyu,kr KOR,"FW,MF",Celtic,22,2001,1.2,0,3,1,33.3,2.6,0.87,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
287,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,5.4,5,11,6,54.5,2.04,1.11,0.45,0.83,0,0,0,3.5,3.5,0.32,1.5,1.5
288,Mauro Icardi,ar ARG,FW,Galatasaray,30,1993,5.8,2,19,5,26.3,3.3,0.87,0.05,0.2,0,1,2,4.1,2.6,0.14,-2.1,-1.6
289,George Ilenikhena,fr FRA,FW,Antwerp,16,2006,1.7,1,2,1,50.0,1.15,0.57,0.5,1.0,0,0,0,0.8,0.8,0.39,0.2,0.2
290,Ciro Immobile,it ITA,FW,Lazio,33,1990,5.6,4,9,4,44.4,1.61,0.72,0.33,0.75,0,1,1,3.1,2.3,0.25,0.9,0.7
291,Hwang In-beom,kr KOR,MF,Red Star,26,1996,5.9,1,13,4,30.8,2.21,0.68,0.08,0.25,0,0,0,0.9,0.9,0.07,0.1,0.1
292,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,3.5,1,6,3,50.0,1.73,0.87,0.17,0.33,0,0,0,1.4,1.4,0.24,-0.4,-0.4
293,Gustav Isaksen,dk DEN,FW,Lazio,22,2001,2.7,0,8,3,37.5,2.94,1.1,0.0,0.0,0,0,0,0.7,0.7,0.09,-0.7,-0.7
294,Cedric Itten,ch SUI,FW,Young Boys,26,1996,3.1,1,7,4,57.1,2.27,1.29,0.0,0.0,0,1,1,1.3,0.5,0.07,-0.3,-0.5
295,Mirko Ivanić,me MNE,MF,Red Star,29,1993,4.1,0,7,1,14.3,1.69,0.24,0.0,0.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
299,Alireza Jahanbakhsh,ir IRN,"FW,DF",Feyenoord,29,1993,0.8,1,3,2,66.7,3.65,2.43,0.33,0.5,1,0,0,0.3,0.3,0.08,0.7,0.7
300,Ivan Jaime Pajuelo,es ESP,MF,Porto,22,2000,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
302,Vincent Janssen,nl NED,FW,Antwerp,29,1994,4.5,1,12,3,25.0,2.64,0.66,0.08,0.33,0,0,0,1.0,1.0,0.08,0.0,0.0
304,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,4.5,4,15,8,53.3,3.33,1.77,0.27,0.5,0,0,0,2.1,2.1,0.14,1.9,1.9
306,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,3.7,1,7,3,42.9,1.89,0.81,0.14,0.33,0,0,0,0.5,0.5,0.08,0.5,0.5
308,Michael Johnston,ie IRL,FW,Celtic,24,1999,1.1,0,2,1,50.0,1.86,0.93,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
310,Luuk de Jong,nl NED,FW,PSV Eindhoven,32,1990,7.0,3,21,5,23.8,3.01,0.72,0.05,0.2,0,2,2,3.8,2.2,0.1,-0.8,-1.2
314,Joselu,es ESP,FW,Real Madrid,33,1990,3.1,5,30,9,30.0,9.57,2.87,0.17,0.56,0,0,0,5.4,5.4,0.18,-0.4,-0.4
315,Luka Jović,rs SRB,"FW,MF",Milan,25,1997,0.4,0,5,1,20.0,14.06,2.81,0.0,0.0,0,0,0,0.6,0.6,0.11,-0.6,-0.6
316,Mauro Júnior,br BRA,"MF,DF",PSV Eindhoven,24,1999,2.0,0,1,1,100.0,0.49,0.49,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
318,Vinicius Júnior,br BRA,FW,Real Madrid,23,2000,10.0,6,29,12,41.4,2.91,1.2,0.17,0.42,0,1,1,4.5,3.7,0.13,1.5,1.3
323,Daichi Kamada,jp JPN,MF,Lazio,26,1996,2.9,0,4,2,50.0,1.4,0.7,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
325,Kevin Kampl,si SVN,MF,RB Leipzig,32,1990,3.1,0,2,1,50.0,0.64,0.32,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
326,Harry Kane,eng ENG,FW,Bayern Munich,30,1993,11.8,8,33,13,39.4,2.8,1.1,0.15,0.38,2,3,3,6.7,4.3,0.13,1.3,0.7
327,Lee Kang-in,kr KOR,"MF,FW",Paris S-G,22,2001,3.8,1,12,4,33.3,3.14,1.05,0.08,0.25,0,0,0,1.2,1.2,0.1,-0.2,-0.2
328,Guélor Kanga,ga GAB,MF,Red Star,32,1990,1.6,0,3,1,33.3,1.84,0.61,0.0,0.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
332,Aleksandar Katai,rs SRB,"MF,FW",Red Star,32,1991,0.9,1,6,2,33.3,6.84,2.28,0.17,0.5,0,0,0,0.4,0.4,0.06,0.6,0.6
334,Kevin Kelsy,ve VEN,FW,Shakhtar,19,2004,1.5,1,2,1,50.0,1.34,0.67,0.5,1.0,0,0,0,0.2,0.2,0.12,0.8,0.8
336,Gyrano Kerk,sr SUR,FW,Antwerp,27,1995,2.3,0,3,1,33.3,1.31,0.44,0.0,0.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
340,Joshua Kimmich,de GER,"MF,DF",Bayern Munich,28,1995,12.0,1,9,3,33.3,0.75,0.25,0.11,0.33,1,0,0,0.7,0.7,0.08,0.3,0.3
341,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,4.2,0,5,1,20.0,1.18,0.24,0.0,0.0,0,0,0,0.5,0.5,0.1,-0.5,-0.5
351,Randal Kolo Muani,fr FRA,"FW,MF",Paris S-G,24,1998,5.2,1,8,2,25.0,1.53,0.38,0.13,0.5,0,0,0,1.9,1.9,0.24,-0.9,-0.9
352,Karim Konaté,ci CIV,"FW,MF",RB Salzburg,19,2004,2.6,0,10,3,30.0,3.8,1.14,0.0,0.0,0,0,1,1.8,1.0,0.1,-1.8,-1.0
355,Jules Koundé,fr FRA,DF,Barcelona,24,1998,8.0,0,2,1,50.0,0.25,0.12,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
357,Alex Král,cz CZE,MF,Union Berlin,25,1998,2.8,1,3,2,66.7,1.08,0.72,0.33,0.5,0,0,0,0.1,0.1,0.02,0.9,0.9
358,Jean-Philippe Krasso,ci CIV,"FW,MF",Red Star,26,1997,1.2,0,3,1,33.3,2.43,0.81,0.0,0.0,0,0,0,0.5,0.5,0.15,-0.5,-0.5
360,Toni Kroos,de GER,MF,Real Madrid,33,1990,9.5,0,7,5,71.4,0.73,0.52,0.0,0.0,2,0,0,0.3,0.3,0.05,-0.3,-0.3
361,Rade Krunić,ba BIH,"MF,DF",Milan,29,1993,2.3,0,1,1,100.0,0.43,0.43,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
362,Dmytro Kryskiv,ua UKR,"MF,FW",Shakhtar,22,2000,4.3,0,4,2,50.0,0.93,0.46,0.0,0.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
364,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,22,2001,6.2,0,11,3,27.3,1.77,0.48,0.0,0.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4
365,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,22,2001,7.4,0,17,3,17.6,2.29,0.4,0.0,0.0,0,0,0,0.9,0.9,0.05,-0.9,-0.9
366,Gustaf Lagerbielke,se SWE,DF,Celtic,23,2000,0.9,1,1,1,100.0,1.15,1.15,1.0,1.0,0,0,0,0.8,0.8,0.79,0.2,0.2
369,Érik Lamela,ar ARG,"FW,MF",Sevilla,31,1992,2.1,0,1,1,100.0,0.48,0.48,0.0,0.0,0,0,0,0.3,0.3,0.26,-0.3,-0.3
371,Noa Lang,nl NED,FW,PSV Eindhoven,24,1999,1.8,0,9,4,44.4,4.91,2.18,0.0,0.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5
372,Jordan Larsson,se SWE,"FW,MF",FC Copenhagen,26,1997,1.2,0,3,2,66.7,2.6,1.73,0.0,0.0,0,0,1,1.0,0.2,0.08,-1.0,-0.2
376,Robin Le Normand,es ESP,DF,Real Sociedad,26,1996,6.4,0,6,2,33.3,0.94,0.31,0.0,0.0,0,0,0,0.7,0.7,0.11,-0.7,-0.7
377,Rafael Leão,pt POR,FW,Milan,24,1999,4.9,1,11,4,36.4,2.24,0.82,0.09,0.25,0,0,0,1.1,1.1,0.1,-0.1,-0.1
381,Lukas Lerager,dk DEN,MF,FC Copenhagen,30,1993,6.0,3,6,4,66.7,1.0,0.67,0.5,0.75,0,0,0,1.3,1.3,0.23,1.7,1.7
382,Robert Lewandowski,pl POL,FW,Barcelona,34,1988,8.2,3,22,9,40.9,2.7,1.1,0.14,0.33,0,0,0,3.0,3.0,0.13,0.0,0.0
388,Samuel Lino,br BRA,DF,Atlético Madrid,23,1999,5.6,3,18,8,44.4,3.21,1.43,0.17,0.38,0,0,0,2.0,2.0,0.11,1.0,1.0
390,Valentino Livramento,eng ENG,"DF,FW",Newcastle Utd,20,2002,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
391,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,28,1995,7.2,0,5,1,20.0,0.69,0.14,0.0,0.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
395,Sean Longstaff,eng ENG,MF,Newcastle Utd,25,1997,3.9,1,2,2,100.0,0.51,0.51,0.5,0.5,0,0,0,0.1,0.1,0.07,0.9,0.9
397,Fermin López,es ESP,MF,Barcelona,20,2003,3.1,2,11,3,27.3,3.56,0.97,0.18,0.67,0,0,0,2.2,2.2,0.2,-0.2,-0.2
399,Hirving Lozano,mx MEX,FW,PSV Eindhoven,28,1995,4.2,0,16,5,31.3,3.82,1.19,0.0,0.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7
402,Castello Lukeba,fr FRA,DF,RB Leipzig,20,2002,6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
403,Dodi Lukebakio,be BEL,FW,Sevilla,25,1997,2.7,0,4,1,25.0,1.46,0.37,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
407,Ian Maatsen,nl NED,DF,Dortmund,21,2002,7.0,1,4,3,75.0,0.57,0.43,0.25,0.33,0,0,0,0.2,0.2,0.04,0.8,0.8
408,Deiver Machado,co COL,DF,Lens,29,1993,4.1,0,5,2,40.0,1.23,0.49,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
409,Daizen Maeda,jp JPN,FW,Celtic,25,1997,3.1,0,5,1,20.0,1.59,0.32,0.0,0.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
410,Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,10.3,0,5,1,20.0,0.48,0.1,0.0,0.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
411,Harry Maguire,eng ENG,DF,Manchester Utd,30,1993,3.4,1,2,2,100.0,0.58,0.58,0.5,0.5,0,0,0,0.3,0.3,0.14,0.7,0.7
412,Jon Magunacelaya,es ESP,MF,Real Sociedad,23,2000,0.2,0,1,1,100.0,6.43,6.43,0.0,0.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
416,Donyell Malen,nl NED,FW,Dortmund,24,1999,5.1,1,23,11,47.8,4.55,2.18,0.04,0.09,0,0,0,2.1,2.1,0.09,-1.1,-1.1
419,José María Giménez,uy URU,DF,Atlético Madrid,28,1995,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
420,Mariano,do DOM,"MF,FW",Sevilla,29,1993,0.7,0,3,1,33.3,4.29,1.43,0.0,0.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
422,João Mário,pt POR,"FW,MF",Benfica,30,1993,3.6,3,7,3,42.9,1.96,0.84,0.43,1.0,0,0,0,1.5,1.5,0.21,1.5,1.5
426,Gabriel Martinelli,br BRA,FW,Arsenal,22,2001,5.3,2,10,5,50.0,1.87,0.94,0.2,0.4,0,0,0,1.8,1.8,0.18,0.2,0.2
428,Lautaro Martínez,ar ARG,FW,Inter,25,1997,5.9,2,33,10,30.3,5.58,1.69,0.03,0.1,0,1,1,5.1,4.3,0.13,-3.1,-3.3
433,Magnus Mattsson,dk DEN,MF,FC Copenhagen,24,1999,1.3,1,5,2,40.0,3.98,1.59,0.2,0.5,0,0,0,0.5,0.5,0.11,0.5,0.5
434,Mykola Matviyenko,ua UKR,DF,Shakhtar,27,1996,5.0,1,3,2,66.7,0.6,0.4,0.33,0.5,0,0,0,0.4,0.4,0.15,0.6,0.6
435,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Bayern Munich,34,1989,0.5,0,4,2,50.0,8.18,4.09,0.0,0.0,0,0,0,0.5,0.5,0.13,-0.5,-0.5
436,Noussair Mazraoui,ma MAR,DF,Bayern Munich,25,1997,7.2,0,5,1,20.0,0.7,0.14,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
437,Kylian Mbappé,fr FRA,FW,Paris S-G,24,1998,12.0,8,48,23,47.9,4.0,1.92,0.1,0.22,0,3,3,8.0,5.7,0.12,0.0,-0.7
438,Callum McGregor,sct SCO,MF,Celtic,30,1993,5.8,0,4,2,50.0,0.69,0.35,0.0,0.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2
440,Scott McTominay,sct SCO,MF,Manchester Utd,26,1996,4.2,1,9,1,11.1,2.12,0.24,0.11,1.0,0,0,0,1.4,1.4,0.15,-0.4,-0.4
442,Facundo Medina,ar ARG,DF,Lens,24,1999,5.5,0,4,1,25.0,0.73,0.18,0.0,0.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
445,Memphis,nl NED,FW,Atlético Madrid,29,1994,1.2,1,7,3,42.9,6.06,2.6,0.14,0.33,2,0,0,1.0,1.0,0.15,0.0,0.0
448,Brais Méndez,es ESP,MF,Real Sociedad,26,1997,5.8,3,13,6,46.2,2.22,1.03,0.23,0.5,1,0,1,1.9,1.2,0.09,1.1,1.8
452,Mikel Merino,es ESP,MF,Real Sociedad,27,1996,7.0,2,14,4,28.6,2.0,0.57,0.14,0.5,0,0,0,2.1,2.1,0.15,-0.1,-0.1
453,Dries Mertens,be BEL,MF,Galatasaray,36,1987,2.2,0,4,1,25.0,1.79,0.45,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
455,Srđan Mijailović,rs SRB,"DF,MF",Red Star,29,1993,5.4,0,3,2,66.7,0.55,0.37,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
461,Yankuba Minteh,gm GAM,FW,Feyenoord,19,2004,2.2,1,10,5,50.0,4.55,2.27,0.1,0.2,0,0,0,1.3,1.3,0.13,-0.3,-0.3
462,Rafa Mir,es ESP,FW,Sevilla,26,1997,0.4,0,1,1,100.0,2.37,2.37,0.0,0.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
463,Stefan Mitrović,rs SRB,"DF,FW",Red Star,20,2002,2.3,0,5,1,20.0,2.15,0.43,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
465,Luka Modrić,hr CRO,MF,Real Madrid,37,1985,4.7,0,6,1,16.7,1.29,0.21,0.0,0.0,0,0,1,1.1,0.3,0.04,-1.1,-0.3
466,Nahuel Molina,ar ARG,DF,Atlético Madrid,25,1998,8.7,0,4,1,25.0,0.46,0.11,0.0,0.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
468,Joel Monteiro,ch SUI,"FW,MF",Young Boys,23,1999,2.9,0,4,1,25.0,1.36,0.34,0.0,0.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
469,Álvaro Morata,es ESP,FW,Atlético Madrid,30,1992,7.4,5,25,10,40.0,3.38,1.35,0.2,0.5,0,0,0,4.6,4.6,0.18,0.4,0.4
473,Mason Mount,eng ENG,"MF,FW",Manchester Utd,24,1999,1.0,0,4,1,25.0,3.96,0.99,0.0,0.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5
475,Arbnor Muja,al ALB,FW,Antwerp,24,1998,4.0,1,11,6,54.5,2.77,1.51,0.09,0.17,0,0,0,0.8,0.8,0.07,0.2,0.2
477,Thomas Müller,de GER,MF,Bayern Munich,33,1989,4.7,1,7,3,42.9,1.48,0.63,0.14,0.33,0,0,0,1.5,1.5,0.22,-0.5,-0.5
480,Petar Musa,hr CRO,"FW,MF",Benfica,25,1998,2.6,0,7,2,28.6,2.7,0.77,0.0,0.0,0,0,0,1.2,1.2,0.18,-1.2,-1.2
481,Yunus Musah,us USA,MF,Milan,20,2002,3.9,0,2,1,50.0,0.51,0.26,0.0,0.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2
482,Jamal Musiala,de GER,"MF,FW",Bayern Munich,20,2003,9.7,2,23,6,26.1,2.36,0.62,0.09,0.33,0,0,0,2.1,2.1,0.09,-0.1,-0.1
484,Almoatasem Al Musrati,ly LBY,MF,Braga,27,1996,3.4,0,4,1,25.0,1.17,0.29,0.0,0.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
485,Nacho,es ESP,DF,Real Madrid,33,1990,10.9,0,6,2,33.3,0.55,0.18,0.0,0.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
489,Yehor Nazaryna,ua UKR,MF,Shakhtar,26,1997,2.3,0,3,2,66.7,1.32,0.88,0.0,0.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
490,Cherif Ndiaye,sn SEN,FW,Red Star,27,1996,4.0,1,9,6,66.7,2.28,1.52,0.11,0.17,0,0,0,2.8,2.8,0.32,-1.8,-1.8
496,David Neres,br BRA,FW,Benfica,26,1997,2.0,0,4,1,25.0,2.03,0.51,0.0,0.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
498,João Neves,pt POR,MF,Benfica,18,2004,6.0,0,6,2,33.3,1.0,0.33,0.0,0.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
499,Newerton,br BRA,"MF,FW",Shakhtar,18,2005,2.4,0,7,1,14.3,2.89,0.41,0.0,0.0,0,0,0,0.7,0.7,0.09,-0.7,-0.7
501,Sikou Niakaté,ml MLI,DF,Braga,24,1999,4.3,1,3,1,33.3,0.69,0.23,0.33,1.0,0,0,0,0.9,0.9,0.29,0.1,0.1
503,Cheikh Niasse,sn SEN,MF,Young Boys,23,2000,5.9,0,4,1,25.0,0.67,0.17,0.0,0.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
505,Saúl Ñíguez,es ESP,MF,Atlético Madrid,28,1994,4.8,1,5,1,20.0,1.03,0.21,0.2,1.0,0,0,0,0.4,0.4,0.08,0.6,0.6
506,Eddie Nketiah,eng ENG,FW,Arsenal,24,1999,1.6,1,5,2,40.0,3.19,1.28,0.2,0.5,0,0,0,0.4,0.4,0.07,0.6,0.6
507,Felix Nmecha,de GER,MF,Dortmund,22,2000,3.9,1,7,2,28.6,1.79,0.51,0.14,0.5,0,0,0,0.5,0.5,0.07,0.5,0.5
508,Jean-Pierre Nsame,cm CMR,FW,Young Boys,30,1993,1.8,0,4,1,25.0,2.28,0.57,0.0,0.0,0,0,0,0.5,0.5,0.11,-0.5,-0.5
